date,forecasted_gross_revenue
2025-10-31,7746.177380549908
2025-11-01,7746.177380549908
2025-11-02,7746.177380549908
2025-11-03,7746.177380549908
2025-11-04,7746.177380549908
2025-11-05,7746.177380549908
2025-11-06,7746.177380549908
2025-11-07,7722.320478228955
2025-11-08,7746.177380549908
2025-11-09,7746.177380549908
2025-11-10,7746.177380549908
2025-11-11,7746.177380549908
2025-11-12,7746.177380549908
2025-11-13,7746.177380549908
2025-11-14,7746.177380549908
2025-11-15,7745.106153424336
2025-11-16,7745.106153424336
2025-11-17,7745.106153424336
2025-11-18,7746.177380549908
2025-11-19,7746.177380549908
2025-11-20,7746.177380549908
2025-11-21,7746.177380549908
2025-11-22,7746.177380549908
2025-11-23,7746.177380549908
2025-11-24,7746.177380549908
2025-11-25,7666.873867656671
2025-11-26,7746.177380549908
2025-11-27,7746.177380549908
2025-11-28,7746.177380549908
2025-11-29,7746.177380549908
2025-11-30,7685.82239105668
2025-12-01,7685.82239105668
2025-12-02,7685.82239105668
2025-12-03,7685.82239105668
2025-12-04,7746.177380549908
2025-12-05,7746.177380549908
2025-12-06,7746.177380549908
2025-12-07,7743.909509341134
2025-12-08,7743.909509341134
2025-12-09,7743.303871077171
2025-12-10,7743.909509341134
2025-12-11,7743.909509341134
2025-12-12,7746.177380549908
2025-12-13,7746.177380549908
2025-12-14,7746.177380549908
2025-12-15,7746.177380549908
2025-12-16,7746.177380549908
2025-12-17,7746.177380549908
2025-12-18,7746.177380549908
2025-12-19,7746.177380549908
2025-12-20,7746.177380549908
2025-12-21,7716.945510788964
2025-12-22,7716.945510788964
2025-12-23,7712.795357800505
2025-12-24,7712.795357800505
2025-12-25,7712.795357800505
2025-12-26,7712.795357800505
2025-12-27,7712.795357800505
2025-12-28,7712.795357800505
2025-12-29,7705.376271356954
2025-12-30,7705.376271356954
2025-12-31,7705.376271356954
2026-01-01,7721.444029609846
2026-01-02,7721.444029609846
2026-01-03,7721.444029609846
2026-01-04,7721.444029609846
2026-01-05,7721.444029609846
2026-01-06,7721.444029609846
2026-01-07,7721.444029609846
2026-01-08,7721.444029609846
2026-01-09,7721.444029609846
2026-01-10,7721.444029609846
2026-01-11,7721.444029609846
2026-01-12,7736.180099897222
2026-01-13,7736.180099897222
2026-01-14,7736.180099897222
2026-01-15,7733.915155243998
2026-01-16,7736.180099897222
2026-01-17,7736.180099897222
2026-01-18,7727.6623357070075
2026-01-19,7729.5273292631555
2026-01-20,7736.180099897222
2026-01-21,7726.320998045417
2026-01-22,7726.320998045417
2026-01-23,7718.425094282253
2026-01-24,7726.320998045417
2026-01-25,7726.320998045417
2026-01-26,7736.180099897222
2026-01-27,7736.180099897222
2026-01-28,7736.180099897222
